Source,Target,Type,Id,Label,Weight
11-1011.00,11-2022.00,Undirected,59720,,0.9562
11-1011.00,11-3071.04,Undirected,59721,,0.9584
11-1011.03,11-2011.00,Undirected,59722,,0.9616
11-1011.03,11-2021.00,Undirected,59723,,0.9576
11-1011.03,11-2022.00,Undirected,59724,,0.9597
11-1011.03,11-3121.00,Undirected,59725,,0.9566
11-1011.03,11-9151.00,Undirected,59726,,0.9623
11-1011.03,11-9161.00,Undirected,59727,,0.9612
11-1011.03,11-9199.01,Undirected,59728,,0.9632
11-1011.03,13-1041.07,Undirected,59729,,0.9638
11-1011.03,13-1081.00,Undirected,59730,,0.959
11-1011.03,13-1111.00,Undirected,59731,,0.9798
11-1011.03,13-1141.00,Undirected,59732,,0.955
11-1011.03,13-1199.04,Undirected,59733,,0.96
11-1011.03,19-3051.00,Undirected,59734,,0.9649
11-1011.03,19-3099.01,Undirected,59735,,0.9546
11-1011.03,25-4012.00,Undirected,59736,,0.9532
11-1011.03,25-9021.00,Undirected,59737,,0.9663
11-1011.03,27-2041.00,Undirected,59738,,0.9551
11-1011.03,41-3031.00,Undirected,59739,,0.9505
11-1021.00,11-2022.00,Undirected,59740,,0.9648
11-1021.00,11-3012.00,Undirected,59741,,0.9693
11-1021.00,11-3013.01,Undirected,59742,,0.9602
11-1021.00,11-3031.00,Undirected,59743,,0.9507
11-1021.00,11-3061.00,Undirected,59744,,0.9647
11-1021.00,11-3071.00,Undirected,59745,,0.9646
11-1021.00,11-3071.04,Undirected,59746,,0.9578
11-1021.00,11-9021.00,Undirected,59747,,0.9505
11-1021.00,11-9031.00,Undirected,59748,,0.9673
11-1021.00,11-9032.00,Undirected,59749,,0.9586
11-1021.00,11-9071.00,Undirected,59750,,0.9675
11-1021.00,11-9072.00,Undirected,59751,,0.9693
11-1021.00,11-9081.00,Undirected,59752,,0.9572
11-1021.00,11-9131.00,Undirected,59753,,0.9717
11-1021.00,11-9141.00,Undirected,59754,,0.9517
11-1021.00,11-9161.00,Undirected,59755,,0.9558
11-1021.00,11-9179.02,Undirected,59756,,0.9556
11-1021.00,11-9199.10,Undirected,59757,,0.9761
11-1021.00,13-1021.00,Undirected,59758,,0.9632
11-1021.00,13-1081.00,Undirected,59759,,0.9587
11-1021.00,13-1121.00,Undirected,59760,,0.9535
11-1021.00,27-1022.00,Undirected,59761,,0.9548
11-1021.00,27-2012.00,Undirected,59762,,0.9641
11-1021.00,27-2012.03,Undirected,59763,,0.9751
11-1021.00,33-1011.00,Undirected,59764,,0.9535
11-1021.00,41-1011.00,Undirected,59765,,0.9515
11-1021.00,41-1012.00,Undirected,59766,,0.9775
11-1021.00,43-1011.00,Undirected,59767,,0.9632
11-2011.00,11-2021.00,Undirected,59768,,0.9737
11-2011.00,11-2022.00,Undirected,59769,,0.9607
11-2011.00,11-2033.00,Undirected,59770,,0.9759
11-2011.00,11-3031.00,Undirected,59771,,0.9623
11-2011.00,11-3031.03,Undirected,59772,,0.9575
11-2011.00,11-3071.04,Undirected,59773,,0.9503
11-2011.00,11-3111.00,Undirected,59774,,0.9693
11-2011.00,11-3121.00,Undirected,59775,,0.9636
11-2011.00,11-3131.00,Undirected,59776,,0.9507
11-2011.00,11-9032.00,Undirected,59777,,0.9531
11-2011.00,11-9111.00,Undirected,59778,,0.9574
11-2011.00,11-9161.00,Undirected,59779,,0.9536
11-2011.00,13-1041.07,Undirected,59780,,0.9598
11-2011.00,13-1041.08,Undirected,59781,,0.9527
11-2011.00,13-1051.00,Undirected,59782,,0.9563
11-2011.00,13-1081.00,Undirected,59783,,0.9737
11-2011.00,13-1111.00,Undirected,59784,,0.9684
11-2011.00,13-1131.00,Undirected,59785,,0.9541
11-2011.00,13-1141.00,Undirected,59786,,0.9622
11-2011.00,13-2011.00,Undirected,59787,,0.9519
11-2011.00,13-2052.00,Undirected,59788,,0.9564
11-2011.00,13-2053.00,Undirected,59789,,0.9639
11-2011.00,19-3051.00,Undirected,59790,,0.9562
11-2011.00,23-1011.00,Undirected,59791,,0.9521
11-2011.00,25-4012.00,Undirected,59792,,0.9599
11-2011.00,27-1011.00,Undirected,59793,,0.9655
11-2011.00,27-1025.00,Undirected,59794,,0.9551
11-2011.00,27-2012.04,Undirected,59795,,0.9584
11-2011.00,27-2041.00,Undirected,59796,,0.9652
11-2011.00,27-3031.00,Undirected,59797,,0.9586
11-2011.00,41-3031.00,Undirected,59798,,0.9594
11-2011.00,43-3061.00,Undirected,59799,,0.959
11-2021.00,11-2022.00,Undirected,59800,,0.9688
11-2021.00,11-3111.00,Undirected,59801,,0.9558
11-2021.00,11-3121.00,Undirected,59802,,0.9601
11-2021.00,11-9111.00,Undirected,59803,,0.9764
11-2021.00,11-9161.00,Undirected,59804,,0.9516
11-2021.00,13-1081.00,Undirected,59805,,0.9803
11-2021.00,13-1111.00,Undirected,59806,,0.9548
11-2021.00,27-1011.00,Undirected,59807,,0.968
11-2021.00,27-1022.00,Undirected,59808,,0.9531
11-2021.00,27-2041.00,Undirected,59809,,0.9577
11-2022.00,11-2033.00,Undirected,59810,,0.9501
11-2022.00,11-3031.00,Undirected,59811,,0.9519
11-2022.00,11-3061.00,Undirected,59812,,0.9572
11-2022.00,11-3071.00,Undirected,59813,,0.9509
11-2022.00,11-3111.00,Undirected,59814,,0.9535
11-2022.00,11-3121.00,Undirected,59815,,0.9849
11-2022.00,11-9031.00,Undirected,59816,,0.9639
11-2022.00,11-9032.00,Undirected,59817,,0.9562
11-2022.00,11-9033.00,Undirected,59818,,0.9678
11-2022.00,11-9071.00,Undirected,59819,,0.9581
11-2022.00,11-9072.00,Undirected,59820,,0.957
11-2022.00,11-9111.00,Undirected,59821,,0.9642
11-2022.00,11-9151.00,Undirected,59822,,0.9643
11-2022.00,11-9161.00,Undirected,59823,,0.9676
11-2022.00,13-1081.00,Undirected,59824,,0.9628
11-2022.00,13-1131.00,Undirected,59825,,0.9537
11-2022.00,21-2011.00,Undirected,59826,,0.9507
11-2022.00,27-2041.00,Undirected,59827,,0.9623
