Source,Target,Weight
11-1011.00,11-2022.00,0.9562
11-1011.00,11-3071.04,0.9584
11-1021.00,11-2022.00,0.9648
11-1021.00,11-3012.00,0.9693
11-1021.00,11-3013.01,0.9602
11-1021.00,11-3031.00,0.9507
11-1021.00,11-3061.00,0.9647
11-1021.00,11-3071.00,0.9646
11-1021.00,11-3071.04,0.9578
11-1021.00,11-9021.00,0.9505
11-1021.00,11-9031.00,0.9673
11-1021.00,11-9032.00,0.9586
11-1021.00,11-9071.00,0.9675
11-1021.00,11-9072.00,0.9693
11-1021.00,11-9081.00,0.9572
11-1021.00,11-9131.00,0.9717
11-1021.00,11-9141.00,0.9517
11-1021.00,11-9161.00,0.9558
11-1021.00,11-9179.02,0.9556
11-1021.00,13-1121.00,0.9535
11-1021.00,27-1022.00,0.9548
11-1021.00,27-2012.00,0.9641
11-1021.00,33-1011.00,0.9535
11-1021.00,41-1011.00,0.9515
11-1021.00,41-1012.00,0.9775
11-2011.00,11-2022.00,0.9607
11-2011.00,11-2033.00,0.9759
11-2011.00,11-3031.00,0.9623
11-2011.00,11-3071.04,0.9503
11-2011.00,11-3111.00,0.9693
11-2011.00,11-3121.00,0.9636
11-2011.00,11-9032.00,0.9531
11-2011.00,11-9161.00,0.9536
11-2011.00,13-1041.07,0.9598
11-2011.00,13-1041.08,0.9527
11-2011.00,13-1111.00,0.9684
11-2011.00,13-1131.00,0.9541
11-2011.00,13-1141.00,0.9622
11-2011.00,13-2011.00,0.9519
11-2011.00,13-2052.00,0.9564
11-2011.00,13-2053.00,0.9639
11-2011.00,19-3051.00,0.9562
11-2011.00,23-1011.00,0.9521
11-2011.00,25-4012.00,0.9599
11-2011.00,27-1011.00,0.9655
11-2011.00,27-1025.00,0.9551
11-2011.00,27-2012.04,0.9584
11-2011.00,43-3061.00,0.959
11-2022.00,11-2033.00,0.9501
11-2022.00,11-3031.00,0.9519
11-2022.00,11-3061.00,0.9572
11-2022.00,11-3071.00,0.9509
11-2022.00,11-3111.00,0.9535
11-2022.00,11-3121.00,0.9849
11-2022.00,11-9031.00,0.9639
11-2022.00,11-9032.00,0.9562
11-2022.00,11-9033.00,0.9678
11-2022.00,11-9071.00,0.9581
11-2022.00,11-9072.00,0.957
11-2022.00,11-9151.00,0.9643
11-2022.00,11-9161.00,0.9676
11-2022.00,13-1131.00,0.9537
11-2022.00,21-2011.00,0.9507
11-2022.00,41-1011.00,0.9599
11-2022.00,41-1012.00,0.9747
11-2033.00,11-3031.00,0.9694
11-2033.00,11-3111.00,0.9506
11-2033.00,13-1075.00,0.9529
11-2033.00,13-1131.00,0.9737
11-2033.00,13-1199.06,0.9722
11-2033.00,13-2053.00,0.9528
11-2033.00,43-3061.00,0.9541
11-3012.00,11-3061.00,0.9607
11-3012.00,11-3071.00,0.955
11-3012.00,11-9072.00,0.9563
11-3012.00,11-9131.00,0.9677
11-3012.00,13-1121.00,0.9505
11-3012.00,27-1022.00,0.958
11-3012.00,27-2012.00,0.9573
11-3013.01,11-9031.00,0.9576
11-3013.01,11-9072.00,0.9619
11-3013.01,11-9081.00,0.9508
11-3013.01,13-1121.00,0.9523
11-3013.01,27-2012.00,0.958
11-3013.01,33-1091.00,0.957
11-3013.01,41-1012.00,0.9517
11-3031.00,11-3061.00,0.9558
11-3031.00,11-3111.00,0.9629
11-3031.00,11-3121.00,0.9655
11-3031.00,11-9031.00,0.9613
11-3031.00,11-9033.00,0.9641
11-3031.00,11-9071.00,0.9659
11-3031.00,11-9072.00,0.9545
11-3031.00,13-1041.08,0.9687
11-3031.00,13-1199.06,0.9589
11-3031.00,13-2011.00,0.9774
11-3031.00,13-2053.00,0.9545
11-3031.00,13-2072.00,0.9545
11-3031.00,13-2099.04,0.9509
11-3031.00,41-1012.00,0.9647
11-3031.00,43-3061.00,0.9673
11-3031.01,11-3111.00,0.9544
11-3061.00,11-3071.00,0.9535
11-3061.00,11-3071.04,0.9673
11-3061.00,11-3121.00,0.9521
11-3061.00,11-9031.00,0.9643
11-3061.00,11-9071.00,0.9598
11-3061.00,11-9131.00,0.9625
11-3061.00,27-1022.00,0.9509
11-3061.00,41-1011.00,0.9599
11-3061.00,41-1012.00,0.9682
11-3071.00,11-3071.04,0.9595
11-3071.00,11-9031.00,0.9584
11-3071.00,11-9032.00,0.9506
11-3071.00,11-9071.00,0.9543
11-3071.00,11-9072.00,0.9593
11-3071.00,11-9081.00,0.9647
11-3071.00,11-9179.02,0.9582
11-3071.00,11-9199.08,0.9764
11-3071.00,27-2012.00,0.9507
11-3071.00,41-1012.00,0.96
11-3071.04,41-1012.00,0.9534
