Id,Label,SOC_Major,SOC_Group
29-1229.03,Urologists,29,Healthcare Practitioners
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",39,Personal Care
11-2033.00,Fundraising Managers,11,Management
23-2011.00,Paralegals and Legal Assistants,23,Legal
13-2022.00,Appraisers of Personal and Business Property,13,Business & Financial
41-3011.00,Advertising Sales Agents,41,Sales
53-7071.00,Gas Compressor and Gas Pumping Station Operators,53,Transportation
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",51,Production
17-2199.10,Wind Energy Engineers,17,Architecture & Engineering
19-2012.00,Physicists,19,"Life, Physical & Social Science"
11-3031.00,Financial Managers,11,Management
53-2022.00,Airfield Operations Specialists,53,Transportation
13-1199.06,Online Merchants,13,Business & Financial
43-4121.00,"Library Assistants, Clerical",43,Office & Admin Support
49-3041.00,Farm Equipment Mechanics and Service Technicians,49,Installation & Repair
19-2041.00,"Environmental Scientists and Specialists, Including Health",19,"Life, Physical & Social Science"
11-1021.00,General and Operations Managers,11,Management
19-3051.00,Urban and Regional Planners,19,"Life, Physical & Social Science"
35-3023.00,Fast Food and Counter Workers,35,Food Preparation
19-1031.00,Conservation Scientists,19,"Life, Physical & Social Science"
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",53,Transportation
29-1123.00,Physical Therapists,29,Healthcare Practitioners
29-1141.03,Critical Care Nurses,29,Healthcare Practitioners
29-1125.00,Recreational Therapists,29,Healthcare Practitioners
31-1121.00,Home Health Aides,31,Healthcare Support
29-1131.00,Veterinarians,29,Healthcare Practitioners
27-1026.00,Merchandise Displayers and Window Trimmers,27,Arts & Media
47-2072.00,Pile Driver Operators,47,Construction & Extraction
43-4071.00,File Clerks,43,Office & Admin Support
53-1042.01,Recycling Coordinators,53,Transportation
53-6061.00,Passenger Attendants,53,Transportation
13-1041.01,Environmental Compliance Inspectors,13,Business & Financial
35-2021.00,Food Preparation Workers,35,Food Preparation
31-2011.00,Occupational Therapy Assistants,31,Healthcare Support
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11,Management
13-1199.04,Business Continuity Planners,13,Business & Financial
29-9099.01,Midwives,29,Healthcare Practitioners
13-1131.00,Fundraisers,13,Business & Financial
11-3013.01,Security Managers,11,Management
13-2023.00,Appraisers and Assessors of Real Estate,13,Business & Financial
15-2051.01,Business Intelligence Analysts,15,Computer & Math
17-1021.00,Cartographers and Photogrammetrists,17,Architecture & Engineering
29-1081.00,Podiatrists,29,Healthcare Practitioners
19-1031.02,Range Managers,19,"Life, Physical & Social Science"
43-4111.00,"Interviewers, Except Eligibility and Loan",43,Office & Admin Support
29-2053.00,Psychiatric Technicians,29,Healthcare Practitioners
13-1161.01,Search Marketing Strategists,13,Business & Financial
25-2051.00,"Special Education Teachers, Preschool",25,Education
33-3021.00,Detectives and Criminal Investigators,33,Protective Service
13-2011.00,Accountants and Auditors,13,Business & Financial
53-7031.00,Dredge Operators,53,Transportation
13-2099.04,"Fraud Examiners, Investigators and Analysts",13,Business & Financial
43-4031.00,"Court, Municipal, and License Clerks",43,Office & Admin Support
53-3031.00,Driver/Sales Workers,53,Transportation
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",25,Education
25-1112.00,"Law Teachers, Postsecondary",25,Education
19-1013.00,Soil and Plant Scientists,19,"Life, Physical & Social Science"
23-1012.00,Judicial Law Clerks,23,Legal
47-2043.00,Floor Sanders and Finishers,47,Construction & Extraction
33-1011.00,First-Line Supervisors of Correctional Officers,33,Protective Service
31-1132.00,Orderlies,31,Healthcare Support
25-3021.00,Self-Enrichment Teachers,25,Education
29-2011.01,Cytogenetic Technologists,29,Healthcare Practitioners
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35,Food Preparation
13-1151.00,Training and Development Specialists,13,Business & Financial
39-9011.00,Childcare Workers,39,Personal Care
19-3022.00,Survey Researchers,19,"Life, Physical & Social Science"
13-2061.00,Financial Examiners,13,Business & Financial
13-1075.00,Labor Relations Specialists,13,Business & Financial
33-3051.04,Customs and Border Protection Officers,33,Protective Service
13-2099.01,Financial Quantitative Analysts,13,Business & Financial
25-9044.00,"Teaching Assistants, Postsecondary",25,Education
21-2011.00,Clergy,21,Community & Social Service
11-9121.00,Natural Sciences Managers,11,Management
13-1199.07,Security Management Specialists,13,Business & Financial
13-2052.00,Personal Financial Advisors,13,Business & Financial
11-1011.00,Chief Executives,11,Management
11-3031.01,Treasurers and Controllers,11,Management
27-1022.00,Fashion Designers,27,Arts & Media
11-9021.00,Construction Managers,11,Management
27-2012.00,Producers and Directors,27,Arts & Media
43-3041.00,Gambling Cage Workers,43,Office & Admin Support
25-2023.00,"Career/Technical Education Teachers, Middle School",25,Education
53-6041.00,Traffic Technicians,53,Transportation
19-3093.00,Historians,19,"Life, Physical & Social Science"
43-6011.00,Executive Secretaries and Executive Administrative Assistants,43,Office & Admin Support
11-3111.00,Compensation and Benefits Managers,11,Management
23-1022.00,"Arbitrators, Mediators, and Conciliators",23,Legal
31-1131.00,Nursing Assistants,31,Healthcare Support
11-3061.00,Purchasing Managers,11,Management
39-3011.00,Gambling Dealers,39,Personal Care
11-9161.00,Emergency Management Directors,11,Management
51-3092.00,Food Batchmakers,51,Production
11-9199.09,Wind Energy Operations Managers,11,Management
15-1243.01,Data Warehousing Specialists,15,Computer & Math
21-1013.00,Marriage and Family Therapists,21,Community & Social Service
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25,Education
35-1011.00,Chefs and Head Cooks,35,Food Preparation
35-3031.00,Waiters and Waitresses,35,Food Preparation
29-1141.01,Acute Care Nurses,29,Healthcare Practitioners
47-4051.00,Highway Maintenance Workers,47,Construction & Extraction
41-4011.07,Solar Sales Representatives and Assessors,41,Sales
29-1217.00,Neurologists,29,Healthcare Practitioners
43-4021.00,Correspondence Clerks,43,Office & Admin Support
19-3039.03,Clinical Neuropsychologists,19,"Life, Physical & Social Science"
25-1194.00,"Career/Technical Education Teachers, Postsecondary",25,Education
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",13,Business & Financial
33-3052.00,Transit and Railroad Police,33,Protective Service
51-1011.00,First-Line Supervisors of Production and Operating Workers,51,Production
21-1091.00,Health Education Specialists,21,Community & Social Service
33-1091.00,First-Line Supervisors of Security Workers,33,Protective Service
25-2058.00,"Special Education Teachers, Secondary School",25,Education
25-1113.00,"Social Work Teachers, Postsecondary",25,Education
25-1042.00,"Biological Science Teachers, Postsecondary",25,Education
43-5011.01,Freight Forwarders,43,Office & Admin Support
29-2052.00,Pharmacy Technicians,29,Healthcare Practitioners
25-2012.00,"Kindergarten Teachers, Except Special Education",25,Education
19-3041.00,Sociologists,19,"Life, Physical & Social Science"
43-2021.00,Telephone Operators,43,Office & Admin Support
21-1094.00,Community Health Workers,21,Community & Social Service
33-3051.00,Police and Sheriff's Patrol Officers,33,Protective Service
41-9021.00,Real Estate Brokers,41,Sales
25-1067.00,"Sociology Teachers, Postsecondary",25,Education
31-2021.00,Physical Therapist Assistants,31,Healthcare Support
29-1122.00,Occupational Therapists,29,Healthcare Practitioners
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43,Office & Admin Support
33-9021.00,Private Detectives and Investigators,33,Protective Service
13-2072.00,Loan Officers,13,Business & Financial
53-6011.00,Bridge and Lock Tenders,53,Transportation
25-1052.00,"Chemistry Teachers, Postsecondary",25,Education
41-2031.00,Retail Salespersons,41,Sales
11-3121.00,Human Resources Managers,11,Management
31-9099.01,Speech-Language Pathology Assistants,31,Healthcare Support
