Id,Label,SOC_Group,Probability
11-1011.00,Chief Executives,Management,0.015
11-1011.03,Chief Sustainability Officers,Management,0.015
11-1021.00,General and Operations Managers,Management,0.16
11-2011.00,Advertising and Promotions Managers,Management,0.039
11-2021.00,Marketing Managers,Management,0.014
11-2022.00,Sales Managers,Management,0.013
11-2033.00,Fundraising Managers,Management,0.015
11-3012.00,Administrative Services Managers,Management,0.73
11-3013.00,Facilities Managers,Management,0.73
11-3013.01,Security Managers,Management,0.73
11-3031.00,Financial Managers,Management,0.069
11-3031.01,Treasurers and Controllers,Management,0.069
11-3031.03,Investment Fund Managers,Management,0.069
11-3051.02,Geothermal Production Managers,Management,0.03
11-3051.04,Biomass Power Plant Managers,Management,0.03
11-3061.00,Purchasing Managers,Management,0.03
11-3071.00,"Transportation, Storage, and Distribution Managers",Management,0.59
11-3071.04,Supply Chain Managers,Management,0.59
11-3121.00,Human Resources Managers,Management,0.0055
11-3131.00,Training and Development Managers,Management,0.0063
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",Management,0.047
11-9021.00,Construction Managers,Management,0.071
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Management,0.015
11-9032.00,"Education Administrators, Kindergarten through Secondary",Management,0.0046
11-9033.00,"Education Administrators, Postsecondary",Management,0.01
11-9041.00,Architectural and Engineering Managers,Management,0.017
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Management,0.017
11-9051.00,Food Service Managers,Management,0.083
11-9071.00,Gambling Managers,Management,0.091
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",Management,0.25
11-9081.00,Lodging Managers,Management,0.0039
11-9111.00,Medical and Health Services Managers,Management,0.0073
11-9121.00,Natural Sciences Managers,Management,0.018
11-9121.01,Clinical Research Coordinators,Management,0.018
11-9121.02,Water Resource Specialists,Management,0.018
11-9131.00,Postmasters and Mail Superintendents,Management,0.75
11-9141.00,"Property, Real Estate, and Community Association Managers",Management,0.81
11-9151.00,Social and Community Service Managers,Management,0.0067
11-9161.00,Emergency Management Directors,Management,0.003
11-9171.00,Funeral Home Managers,Management,
11-9179.01,Fitness and Wellness Coordinators,Management,0.25
11-9179.02,Spa Managers,Management,0.25
11-9199.01,Regulatory Affairs Managers,Management,0.25
11-9199.02,Compliance Managers,Management,0.25
11-9199.08,Loss Prevention Managers,Management,0.25
11-9199.09,Wind Energy Operations Managers,Management,0.25
11-9199.10,Wind Energy Development Managers,Management,0.25
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Management,0.25
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Business & Financial,0.24
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",Business & Financial,0.29
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Business & Financial,0.77
13-1041.00,Compliance Officers,Business & Financial,0.08
13-1041.01,Environmental Compliance Inspectors,Business & Financial,0.08
13-1041.03,Equal Opportunity Representatives and Officers,Business & Financial,0.08
13-1041.04,Government Property Inspectors and Investigators,Business & Financial,0.08
13-1041.06,Coroners,Business & Financial,0.08
13-1041.07,Regulatory Affairs Specialists,Business & Financial,0.08
13-1041.08,Customs Brokers,Business & Financial,0.08
13-1051.00,Cost Estimators,Business & Financial,0.57
13-1071.00,Human Resources Specialists,Business & Financial,
13-1075.00,Labor Relations Specialists,Business & Financial,
13-1081.00,Logisticians,Business & Financial,0.012
13-1081.02,Logistics Analysts,Business & Financial,0.012
13-1111.00,Management Analysts,Business & Financial,0.13
13-1121.00,"Meeting, Convention, and Event Planners",Business & Financial,0.037
13-1131.00,Fundraisers,Business & Financial,
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Business & Financial,0.47
13-1151.00,Training and Development Specialists,Business & Financial,0.014
13-1161.00,Market Research Analysts and Marketing Specialists,Business & Financial,0.61
13-1161.01,Search Marketing Strategists,Business & Financial,0.61
13-1199.04,Business Continuity Planners,Business & Financial,0.23
13-1199.05,Sustainability Specialists,Business & Financial,0.23
13-1199.06,Online Merchants,Business & Financial,0.23
13-1199.07,Security Management Specialists,Business & Financial,0.23
13-2052.00,Personal Financial Advisors,Business & Financial,0.58
13-2061.00,Financial Examiners,Business & Financial,0.17
13-2071.00,Credit Counselors,Business & Financial,0.04
13-2099.01,Financial Quantitative Analysts,Business & Financial,0.33
13-2099.04,"Fraud Examiners, Investigators and Analysts",Business & Financial,0.33
15-1211.01,Health Informatics Specialists,Computer & Math,0.0065
15-1243.00,Database Architects,Computer & Math,0.03
15-1243.01,Data Warehousing Specialists,Computer & Math,0.03
15-1299.03,Document Management Specialists,Computer & Math,0.78
15-1299.09,Information Technology Project Managers,Computer & Math,0.78
15-2011.00,Actuaries,Computer & Math,0.21
15-2021.00,Mathematicians,Computer & Math,0.047
15-2031.00,Operations Research Analysts,Computer & Math,0.035
15-2041.00,Statisticians,Computer & Math,0.22
15-2041.01,Biostatisticians,Computer & Math,0.22
15-2051.01,Business Intelligence Analysts,Computer & Math,
17-1011.00,"Architects, Except Landscape and Naval",Architecture & Engineering,0.018
17-1012.00,Landscape Architects,Architecture & Engineering,0.045
17-2011.00,Aerospace Engineers,Architecture & Engineering,0.017
17-2051.02,Water/Wastewater Engineers,Architecture & Engineering,0.019
17-2081.00,Environmental Engineers,Architecture & Engineering,0.018
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Architecture & Engineering,0.028
17-2112.01,Human Factors Engineers and Ergonomists,Architecture & Engineering,0.029
17-2112.02,Validation Engineers,Architecture & Engineering,0.029
17-2131.00,Materials Engineers,Architecture & Engineering,0.021
17-2141.02,Automotive Engineers,Architecture & Engineering,0.011
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Architecture & Engineering,0.14
17-2171.00,Petroleum Engineers,Architecture & Engineering,0.16
17-2199.03,"Energy Engineers, Except Wind and Solar",Architecture & Engineering,0.014
17-2199.06,Microsystems Engineers,Architecture & Engineering,0.014
17-2199.10,Wind Energy Engineers,Architecture & Engineering,0.014
17-2199.11,Solar Energy Systems Engineers,Architecture & Engineering,0.014
17-3011.00,Architectural and Civil Drafters,Architecture & Engineering,0.52
17-3012.00,Electrical and Electronics Drafters,Architecture & Engineering,0.81
17-3022.00,Civil Engineering Technologists and Technicians,Architecture & Engineering,0.75
19-1011.00,Animal Scientists,"Life, Physical & Social Science",0.061
19-1012.00,Food Scientists and Technologists,"Life, Physical & Social Science",0.077
19-1013.00,Soil and Plant Scientists,"Life, Physical & Social Science",0.021
19-1022.00,Microbiologists,"Life, Physical & Social Science",0.012
19-1023.00,Zoologists and Wildlife Biologists,"Life, Physical & Social Science",0.3
19-1029.01,Bioinformatics Scientists,"Life, Physical & Social Science",0.015
19-1029.02,Molecular and Cellular Biologists,"Life, Physical & Social Science",0.015
19-1029.03,Geneticists,"Life, Physical & Social Science",0.015
19-1029.04,Biologists,"Life, Physical & Social Science",0.015
19-1031.00,Conservation Scientists,"Life, Physical & Social Science",0.016
19-1031.02,Range Managers,"Life, Physical & Social Science",0.016
19-1031.03,Park Naturalists,"Life, Physical & Social Science",0.016
19-1041.00,Epidemiologists,"Life, Physical & Social Science",0.2
19-1042.00,"Medical Scientists, Except Epidemiologists","Life, Physical & Social Science",0.0045
19-2011.00,Astronomers,"Life, Physical & Social Science",0.041
19-2012.00,Physicists,"Life, Physical & Social Science",0.1
19-2021.00,Atmospheric and Space Scientists,"Life, Physical & Social Science",0.67
19-2032.00,Materials Scientists,"Life, Physical & Social Science",0.021
19-2041.00,"Environmental Scientists and Specialists, Including Health","Life, Physical & Social Science",0.033
19-2041.01,Climate Change Policy Analysts,"Life, Physical & Social Science",0.033
19-2041.02,Environmental Restoration Planners,"Life, Physical & Social Science",0.033
19-2041.03,Industrial Ecologists,"Life, Physical & Social Science",0.033
19-2042.00,"Geoscientists, Except Hydrologists and Geographers","Life, Physical & Social Science",0.63
19-2099.01,Remote Sensing Scientists and Technologists,"Life, Physical & Social Science",0.43
19-3011.00,Economists,"Life, Physical & Social Science",0.43
19-3011.01,Environmental Economists,"Life, Physical & Social Science",0.43
19-3022.00,Survey Researchers,"Life, Physical & Social Science",0.23
19-3032.00,Industrial-Organizational Psychologists,"Life, Physical & Social Science",0.012
19-3033.00,Clinical and Counseling Psychologists,"Life, Physical & Social Science",0.0047
19-3034.00,School Psychologists,"Life, Physical & Social Science",0.0047
19-3039.02,Neuropsychologists,"Life, Physical & Social Science",0.0043
19-3039.03,Clinical Neuropsychologists,"Life, Physical & Social Science",0.0043
19-3041.00,Sociologists,"Life, Physical & Social Science",0.059
19-3051.00,Urban and Regional Planners,"Life, Physical & Social Science",0.13
19-3091.00,Anthropologists and Archeologists,"Life, Physical & Social Science",0.0077
19-3092.00,Geographers,"Life, Physical & Social Science",0.25
19-3093.00,Historians,"Life, Physical & Social Science",0.44
19-3094.00,Political Scientists,"Life, Physical & Social Science",0.039
19-3099.01,Transportation Planners,"Life, Physical & Social Science",0.04
19-4042.00,"Environmental Science and Protection Technicians, Including Health","Life, Physical & Social Science",0.77
19-4061.00,Social Science Research Assistants,"Life, Physical & Social Science",0.65
19-4092.00,Forensic Science Technicians,"Life, Physical & Social Science",0.0095
19-5012.00,Occupational Health and Safety Technicians,"Life, Physical & Social Science",0.25
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Community & Social Service,0.033
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",Community & Social Service,0.0085
21-1013.00,Marriage and Family Therapists,Community & Social Service,0.014
21-1014.00,Mental Health Counselors,Community & Social Service,0.0048
21-1015.00,Rehabilitation Counselors,Community & Social Service,0.0094
21-1021.00,"Child, Family, and School Social Workers",Community & Social Service,0.028
21-1022.00,Healthcare Social Workers,Community & Social Service,0.0035
21-1023.00,Mental Health and Substance Abuse Social Workers,Community & Social Service,0.0031
21-1091.00,Health Education Specialists,Community & Social Service,0.045
21-1092.00,Probation Officers and Correctional Treatment Specialists,Community & Social Service,0.25
21-1093.00,Social and Human Service Assistants,Community & Social Service,0.13
21-1094.00,Community Health Workers,Community & Social Service,
21-2011.00,Clergy,Community & Social Service,0.0081
21-2021.00,"Directors, Religious Activities and Education",Community & Social Service,0.025
23-1011.00,Lawyers,Legal,0.035
23-1012.00,Judicial Law Clerks,Legal,0.41
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal,0.64
23-1022.00,"Arbitrators, Mediators, and Conciliators",Legal,0.06
23-1023.00,"Judges, Magistrate Judges, and Magistrates",Legal,0.4
25-1011.00,"Business Teachers, Postsecondary",Education,
25-1021.00,"Computer Science Teachers, Postsecondary",Education,
25-1022.00,"Mathematical Science Teachers, Postsecondary",Education,
25-1031.00,"Architecture Teachers, Postsecondary",Education,
25-1032.00,"Engineering Teachers, Postsecondary",Education,
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Education,
25-1042.00,"Biological Science Teachers, Postsecondary",Education,
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Education,
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Education,
25-1052.00,"Chemistry Teachers, Postsecondary",Education,
25-1053.00,"Environmental Science Teachers, Postsecondary",Education,
25-1054.00,"Physics Teachers, Postsecondary",Education,
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Education,
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Education,
25-1063.00,"Economics Teachers, Postsecondary",Education,
25-1064.00,"Geography Teachers, Postsecondary",Education,
25-1065.00,"Political Science Teachers, Postsecondary",Education,
25-1066.00,"Psychology Teachers, Postsecondary",Education,
25-1067.00,"Sociology Teachers, Postsecondary",Education,
25-1071.00,"Health Specialties Teachers, Postsecondary",Education,
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Education,
25-1081.00,"Education Teachers, Postsecondary",Education,
25-1082.00,"Library Science Teachers, Postsecondary",Education,
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Education,
25-1112.00,"Law Teachers, Postsecondary",Education,
25-1113.00,"Social Work Teachers, Postsecondary",Education,
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Education,
25-1122.00,"Communications Teachers, Postsecondary",Education,
25-1123.00,"English Language and Literature Teachers, Postsecondary",Education,
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Education,
25-1125.00,"History Teachers, Postsecondary",Education,
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Education,
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Education,
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Education,
25-1194.00,"Career/Technical Education Teachers, Postsecondary",Education,
25-2011.00,"Preschool Teachers, Except Special Education",Education,0.0074
25-2012.00,"Kindergarten Teachers, Except Special Education",Education,0.15
25-2021.00,"Elementary School Teachers, Except Special Education",Education,0.0044
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Education,0.17
25-2023.00,"Career/Technical Education Teachers, Middle School",Education,0.26
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Education,0.0078
25-2032.00,"Career/Technical Education Teachers, Secondary School",Education,0.0088
25-2051.00,"Special Education Teachers, Preschool",Education,
25-2056.00,"Special Education Teachers, Elementary School",Education,
25-2057.00,"Special Education Teachers, Middle School",Education,0.016
25-2058.00,"Special Education Teachers, Secondary School",Education,0.0077
25-2059.01,Adapted Physical Education Specialists,Education,
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Education,0.19
25-3021.00,Self-Enrichment Teachers,Education,0.13
25-3031.00,"Substitute Teachers, Short-Term",Education,
25-3041.00,Tutors,Education,
25-4011.00,Archivists,Education,0.76
25-4012.00,Curators,Education,0.0068
25-4013.00,Museum Technicians and Conservators,Education,0.59
25-4022.00,Librarians and Media Collections Specialists,Education,0.52
25-9021.00,Farm and Home Management Educators,Education,0.0075
25-9031.00,Instructional Coordinators,Education,0.0042
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Education,0.56
25-9043.00,"Teaching Assistants, Special Education",Education,0.56
25-9044.00,"Teaching Assistants, Postsecondary",Education,
27-1011.00,Art Directors,Arts & Media,0.023
27-1022.00,Fashion Designers,Arts & Media,0.021
27-1024.00,Graphic Designers,Arts & Media,0.082
27-1025.00,Interior Designers,Arts & Media,0.022
27-1026.00,Merchandise Displayers and Window Trimmers,Arts & Media,0.48
27-1027.00,Set and Exhibit Designers,Arts & Media,0.0055
27-2011.00,Actors,Arts & Media,0.37
27-2012.00,Producers and Directors,Arts & Media,0.022
27-2012.03,Media Programming Directors,Arts & Media,0.022
27-2012.04,Talent Directors,Arts & Media,0.022
27-2022.00,Coaches and Scouts,Arts & Media,0.013
27-2031.00,Dancers,Arts & Media,0.13
27-2032.00,Choreographers,Arts & Media,0.004
27-2041.00,Music Directors and Composers,Arts & Media,0.015
27-2042.00,Musicians and Singers,Arts & Media,0.074
27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Arts & Media,0.1
27-3023.00,"News Analysts, Reporters, and Journalists",Arts & Media,0.0885
27-3031.00,Public Relations Specialists,Arts & Media,0.18
27-3043.00,Writers and Authors,Arts & Media,0.038
27-3043.05,"Poets, Lyricists and Creative Writers",Arts & Media,0.038
27-3091.00,Interpreters and Translators,Arts & Media,0.38
27-4021.00,Photographers,Arts & Media,0.021
29-1011.00,Chiropractors,Healthcare Practitioners,0.027
29-1023.00,Orthodontists,Healthcare Practitioners,0.023
29-1031.00,Dietitians and Nutritionists,Healthcare Practitioners,0.0039
29-1041.00,Optometrists,Healthcare Practitioners,0.14
29-1051.00,Pharmacists,Healthcare Practitioners,0.012
29-1071.00,Physician Assistants,Healthcare Practitioners,0.14
29-1071.01,Anesthesiologist Assistants,Healthcare Practitioners,0.14
29-1081.00,Podiatrists,Healthcare Practitioners,0.0046
29-1122.00,Occupational Therapists,Healthcare Practitioners,0.0035
29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Healthcare Practitioners,0.0035
29-1123.00,Physical Therapists,Healthcare Practitioners,0.021
29-1125.00,Recreational Therapists,Healthcare Practitioners,0.0028
29-1126.00,Respiratory Therapists,Healthcare Practitioners,0.066
29-1127.00,Speech-Language Pathologists,Healthcare Practitioners,0.0064
29-1128.00,Exercise Physiologists,Healthcare Practitioners,
29-1129.01,Art Therapists,Healthcare Practitioners,
29-1129.02,Music Therapists,Healthcare Practitioners,
29-1131.00,Veterinarians,Healthcare Practitioners,0.038
29-1141.00,Registered Nurses,Healthcare Practitioners,
29-1141.01,Acute Care Nurses,Healthcare Practitioners,
29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare Practitioners,
29-1141.03,Critical Care Nurses,Healthcare Practitioners,
29-1141.04,Clinical Nurse Specialists,Healthcare Practitioners,
29-1151.00,Nurse Anesthetists,Healthcare Practitioners,
29-1161.00,Nurse Midwives,Healthcare Practitioners,
29-1171.00,Nurse Practitioners,Healthcare Practitioners,
29-1181.00,Audiologists,Healthcare Practitioners,0.0033
29-1211.00,Anesthesiologists,Healthcare Practitioners,
29-1213.00,Dermatologists,Healthcare Practitioners,
29-1214.00,Emergency Medicine Physicians,Healthcare Practitioners,
29-1215.00,Family Medicine Physicians,Healthcare Practitioners,
29-1216.00,General Internal Medicine Physicians,Healthcare Practitioners,
29-1217.00,Neurologists,Healthcare Practitioners,
29-1218.00,Obstetricians and Gynecologists,Healthcare Practitioners,
29-1221.00,"Pediatricians, General",Healthcare Practitioners,
29-1222.00,"Physicians, Pathologists",Healthcare Practitioners,
29-1223.00,Psychiatrists,Healthcare Practitioners,
29-1224.00,Radiologists,Healthcare Practitioners,
29-1229.01,Allergists and Immunologists,Healthcare Practitioners,
29-1229.02,Hospitalists,Healthcare Practitioners,
29-1229.03,Urologists,Healthcare Practitioners,
29-1229.04,Physical Medicine and Rehabilitation Physicians,Healthcare Practitioners,
29-1229.05,Preventive Medicine Physicians,Healthcare Practitioners,
29-1229.06,Sports Medicine Physicians,Healthcare Practitioners,
29-1241.00,"Ophthalmologists, Except Pediatric",Healthcare Practitioners,
29-1291.00,Acupuncturists,Healthcare Practitioners,0.02
29-1299.01,Naturopathic Physicians,Healthcare Practitioners,0.02
29-1299.02,Orthoptists,Healthcare Practitioners,0.02
29-2031.00,Cardiovascular Technologists and Technicians,Healthcare Practitioners,0.23
29-2033.00,Nuclear Medicine Technologists,Healthcare Practitioners,0.13
29-2036.00,Medical Dosimetrists,Healthcare Practitioners,
29-2051.00,Dietetic Technicians,Healthcare Practitioners,0.13
29-2053.00,Psychiatric Technicians,Healthcare Practitioners,0.043
29-2056.00,Veterinary Technologists and Technicians,Healthcare Practitioners,0.029
29-2061.00,Licensed Practical and Licensed Vocational Nurses,Healthcare Practitioners,0.058
29-2099.05,Ophthalmic Medical Technologists,Healthcare Practitioners,0.1
29-2099.08,Patient Representatives,Healthcare Practitioners,0.1
29-9091.00,Athletic Trainers,Healthcare Practitioners,0.0071
29-9092.00,Genetic Counselors,Healthcare Practitioners,
29-9099.01,Midwives,Healthcare Practitioners,
31-1121.00,Home Health Aides,Healthcare Support,0.39
31-1122.00,Personal Care Aides,Healthcare Support,0.74
31-1131.00,Nursing Assistants,Healthcare Support,
31-1132.00,Orderlies,Healthcare Support,
31-1133.00,Psychiatric Aides,Healthcare Support,0.47
31-2011.00,Occupational Therapy Assistants,Healthcare Support,0.028
31-2012.00,Occupational Therapy Aides,Healthcare Support,0.27
31-2021.00,Physical Therapist Assistants,Healthcare Support,0.018
31-2022.00,Physical Therapist Aides,Healthcare Support,0.61
31-9011.00,Massage Therapists,Healthcare Support,0.54
31-9091.00,Dental Assistants,Healthcare Support,0.51
31-9092.00,Medical Assistants,Healthcare Support,0.3
31-9095.00,Pharmacy Aides,Healthcare Support,0.72
31-9097.00,Phlebotomists,Healthcare Support,
31-9099.01,Speech-Language Pathology Assistants,Healthcare Support,
33-1011.00,First-Line Supervisors of Correctional Officers,Protective Service,0.025
33-1012.00,First-Line Supervisors of Police and Detectives,Protective Service,0.0044
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,Protective Service,0.0036
33-1091.00,First-Line Supervisors of Security Workers,Protective Service,
33-2021.00,Fire Inspectors and Investigators,Protective Service,0.48
33-2022.00,Forest Fire Inspectors and Prevention Specialists,Protective Service,0.048
33-3011.00,Bailiffs,Protective Service,0.36
33-3012.00,Correctional Officers and Jailers,Protective Service,0.6
33-3021.00,Detectives and Criminal Investigators,Protective Service,0.34
33-3021.02,Police Identification and Records Officers,Protective Service,0.34
33-3021.06,Intelligence Analysts,Protective Service,0.34
33-3051.00,Police and Sheriff's Patrol Officers,Protective Service,0.098
33-3051.04,Customs and Border Protection Officers,Protective Service,0.098
33-3052.00,Transit and Railroad Police,Protective Service,0.57
33-9011.00,Animal Control Workers,Protective Service,0.21
33-9021.00,Private Detectives and Investigators,Protective Service,0.31
33-9091.00,Crossing Guards and Flaggers,Protective Service,0.49
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Protective Service,0.67
33-9099.02,Retail Loss Prevention Specialists,Protective Service,
35-1011.00,Chefs and Head Cooks,Food Preparation,0.1
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,Food Preparation,0.63
35-2011.00,"Cooks, Fast Food",Food Preparation,0.81
35-3011.00,Bartenders,Food Preparation,0.77
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",Building & Grounds,0.57
37-2012.00,Maids and Housekeeping Cleaners,Building & Grounds,0.69
39-1013.00,First-Line Supervisors of Gambling Services Workers,Personal Care,0.41000000000000003
39-1022.00,First-Line Supervisors of Personal Service Workers,Personal Care,0.076
39-2011.00,Animal Trainers,Personal Care,0.1
39-3092.00,Costume Attendants,Personal Care,0.61
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",Personal Care,0.43
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",Personal Care,0.11
39-5093.00,Shampooers,Personal Care,0.79
39-5094.00,Skincare Specialists,Personal Care,0.29
39-6012.00,Concierges,Personal Care,0.21
39-7012.00,Travel Guides,Personal Care,0.057
39-9011.00,Childcare Workers,Personal Care,0.084
39-9011.01,Nannies,Personal Care,0.084
39-9032.00,Recreation Workers,Personal Care,0.0061
39-9041.00,Residential Advisors,Personal Care,0.064
