Id,Label,soc_major,soc_group,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Degree
11-1011.00,Chief Executives,11,Management,0,11,0.220224,0.247295,0.000002,2
11-1011.03,Chief Sustainability Officers,11,Management,2,10,0.292447,0.344899,0.003213,18
11-1021.00,General and Operations Managers,11,Management,0,10,0.277234,0.341033,0.018304,28
11-2011.00,Advertising and Promotions Managers,11,Management,2,9,0.304435,0.374224,0.015603,33
11-2021.00,Marketing Managers,11,Management,2,10,0.272892,0.318112,0.00037,12
11-2022.00,Sales Managers,11,Management,0,10,0.281716,0.344602,0.007015,26
11-2033.00,Fundraising Managers,11,Management,2,9,0.285804,0.332258,0.001342,11
11-3012.00,Administrative Services Managers,11,Management,0,10,0.243679,0.283344,0.000413,11
11-3013.00,Facilities Managers,11,Management,0,10,0.201782,0.220817,0.003299,3
11-3013.01,Security Managers,11,Management,0,10,0.246062,0.285441,0.001831,9
11-3031.00,Financial Managers,11,Management,2,9,0.293584,0.35582,0.013172,25
11-3031.01,Treasurers and Controllers,11,Management,2,10,0.227982,0.25909,0.00001,5
11-3031.03,Investment Fund Managers,11,Management,2,9,0.289087,0.349608,0.010113,24
11-3051.02,Geothermal Production Managers,11,Management,1,1,1,1,0,2
11-3051.04,Biomass Power Plant Managers,11,Management,1,1,1,1,0,2
11-3061.00,Purchasing Managers,11,Management,0,10,0.255499,0.307574,0.000962,17
11-3071.00,"Transportation, Storage, and Distribution Managers",11,Management,0,10,0.251947,0.299254,0.00071,15
11-3071.04,Supply Chain Managers,11,Management,0,10,0.247541,0.287627,0.000568,8
11-3111.00,Compensation and Benefits Managers,11,Management,2,10,0.270609,0.317839,0.000815,12
11-3121.00,Human Resources Managers,11,Management,2,9,0.307745,0.372539,0.006118,25
11-3131.00,Training and Development Managers,11,Management,2,10,0.281541,0.331709,0.000573,10
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11,Management,1,1,1,1,0,2
11-9021.00,Construction Managers,11,Management,0,11,0.217162,0.243041,0,1
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",11,Management,0,10,0.287619,0.354352,0.007189,26
11-9032.00,"Education Administrators, Kindergarten through Secondary",11,Management,0,10,0.290757,0.347945,0.003593,18
11-9033.00,"Education Administrators, Postsecondary",11,Management,0,10,0.27963,0.337181,0.002843,15
11-9041.00,Architectural and Engineering Managers,11,Management,5,11,0.251947,0.284145,0.002772,3
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,11,Management,5,12,0.187967,0.205093,0,1
11-9051.00,Food Service Managers,11,Management,0,12,0.163774,0.177643,0.003299,2
11-9071.00,Gambling Managers,11,Management,0,10,0.278769,0.336634,0.005025,23
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",11,Management,0,9,0.303823,0.372303,0.017113,30
11-9081.00,Lodging Managers,11,Management,0,9,0.274213,0.325556,0.004772,18
11-9111.00,Medical and Health Services Managers,11,Management,2,10,0.264448,0.309618,0.000584,12
11-9121.00,Natural Sciences Managers,11,Management,5,12,0.206378,0.234797,0,2
11-9121.01,Clinical Research Coordinators,11,Management,8,10,0.278427,0.319594,0.000069,6
11-9121.02,Water Resource Specialists,11,Management,5,11,0.239936,0.278928,0.005002,8
